coreid,no.metal,no.topology,LCD,PLD,PLD/LCD,Density (g/cm3),ASA (m2/cm3),ASA (m2/g),VF,PV (cm3/g),Has OMS,frac_C,frac_H,frac_O,frac_N,frac_halogen,frac_metal,H_over_C,O_over_C,N_over_C,NF3_uptake(mol/kg),CF4_uptake(mol/kg),Selectivity(NF3/CF4)
2011[Co][nan]3[ASR]10,3,0,4.69979,4.51322,0.960302482,1.86095,534.067,286.986,0.4074,0.21892,0,0.303030303,0.181818182,0.181818182,0.242424242,0,0.090909091,0.6,0.6,0.8,2.328518197,0.127755814,18.22631887
2016[Cd][dia]3[ASR]6,4,3,4.71493,4.61661,0.979147092,1.47308,499.274,338.931,0.2388,0.162109,0,0.444444444,0.296296296,0.148148148,0.074074074,0,0.037037037,0.666666667,0.333333333,0.166666667,2.329862313,0.200082975,11.64448055
2011[Co][nan]3[ASR]11,3,0,4.79766,4.61223,0.961349908,1.86496,400.133,214.553,0.1671,0.0895996,0,0.303030303,0.181818182,0.181818182,0.242424242,0,0.090909091,0.6,0.6,0.8,1.970956574,0.236551194,8.332050843
2014[Mg][ant]3[ASR]1,12,21,4.75375,4.5283,0.952574283,1.18943,341.663,287.249,0.1355,0.11392,0,0.510638298,0.340425532,0.085106383,0.042553191,0,0.021276596,0.666666667,0.166666667,0.083333333,1.396846828,0.259995414,5.372582569
2017[Zn][unc]3[FSR]3,1,35,4.7828,4.60591,0.963015388,1.32306,597.036,451.253,0.2271,0.171647,0,0.34375,0.4375,0.125,0.0625,0,0.03125,1.272727273,0.363636364,0.181818182,1.913917988,0.445948897,4.291787695
2017[Zn][unc]3[FSR]1,1,35,4.7828,4.60591,0.963015388,1.32306,879.219,664.533,0.469,0.35448,0,0.34375,0.4375,0.125,0.0625,0,0.03125,1.272727273,0.363636364,0.181818182,1.913917988,0.445948897,4.291787695
2016[Cu][nan]3[ION]1,2,0,5.92644,5.6628,0.955514609,1.17119,562.956,480.668,0.151,0.128928,1,0.403225806,0.403225806,0.129032258,0.048387097,0,0.016129032,1,0.32,0.12,1.734498099,0.412132931,4.208588946
2016[In][nan]3[ASR]7,7,0,7.28919,7.17345,0.984121693,1.35968,1617.55,1189.65,0.5946,0.437307,0,0.444444444,0.222222222,0.277777778,0,0,0.055555556,0.5,0.625,0,4.402778208,1.04832542,4.199820135
2012[Zn][nan]3[FSR]31,1,0,10.1321,9.94886,0.981914904,1.07305,967.812,901.923,0.3407,0.317505,0,0.375,0.4375,0.125,0.03125,0,0.03125,1.166666667,0.333333333,0.083333333,0.934456863,0.281393392,3.320820209
2012[Zn][nan]3[FSR]7,1,0,10.1321,9.94885,0.981913917,1.07305,1258.61,1172.92,0.5642,0.525789,0,0.375,0.4375,0.125,0.03125,0,0.03125,1.166666667,0.333333333,0.083333333,0.9057775,0.275298609,3.290163732
